,precision,recall,f1-score,support
salmonidae,0.0,0.0,0.0,3.0
scincidae,0.0,0.0,0.0,3.0
sciuridae,0.0,0.0,0.0,3.0
scolopacidae,0.0,0.0,0.0,6.0
scombridae,0.0,0.0,0.0,3.0
serranidae,0.0,0.0,0.0,9.0
siderastreidae,0.0,0.0,0.0,3.0
siluridae,0.0,0.0,0.0,3.0
somniosidae,0.0,0.0,0.0,3.0
soricidae,0.0,0.0,0.0,3.0
sparidae,0.0,0.0,0.0,6.0
spheniscidae,0.14285714285714285,0.08333333333333333,0.10526315789473684,12.0
sphyrnidae,0.0,0.0,0.0,9.0
squalidae,0.0,0.0,0.0,3.0
squatinidae,0.0,0.0,0.0,3.0
stichopodidae,0.0,0.0,0.0,6.0
strigidae,0.0,0.0,0.0,3.0
strigopidae,0.0,0.0,0.0,3.0
syngnathidae,0.058823529411764705,0.16666666666666666,0.08695652173913043,6.0
testudinidae,0.0,0.0,0.0,6.0
tettigoniidae,0.0,0.0,0.0,3.0
theraphosidae,1.0,0.3333333333333333,0.5,3.0
thraupidae,0.1111111111111111,0.1111111111111111,0.1111111111111111,9.0
trionychidae,0.0,0.0,0.0,3.0
triopsidae,0.0,0.0,0.0,3.0
trochilidae,0.07692307692307693,0.2222222222222222,0.11428571428571428,9.0
trogonidae,0.0,0.0,0.0,3.0
tropiduridae,0.0,0.0,0.0,3.0
turdidae,0.0,0.0,0.0,6.0
unionidae,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0
urolophidae,0.0,0.0,0.0,3.0
ursidae,0.0,0.0,0.0,6.0
vangidae,0.0,0.0,0.0,3.0
vespertilionidae,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0
viperidae,0.0,0.0,0.0,3.0
vireonidae,0.18181818181818182,0.6666666666666666,0.2857142857142857,3.0
vombatidae,0.0,0.0,0.0,3.0
zonitidae,0.0,0.0,0.0,3.0
accuracy,0.1651376146788991,0.1651376146788991,0.1651376146788991,0.1651376146788991
macro avg,0.08685732754070087,0.08587528293059192,0.0723114375359549,1199.0
weighted avg,0.12148346545146038,0.1651376146788991,0.12041685295537835,1199.0
